Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
GUNSITE,14.1,17.7,31/46,3.54,,NOV,0
HONEYCRISP,14.9,18.1,29/42,3.62,,OCT,0
PATRICIA,16.7,45.4,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
CARMELITA,13.2,21.3,31/46,4.26,,OCT,0
ANTON,14.8,20.3,31/46,4.06,,OCT,0
CLARINET,9.3,16.1,31/46,3.22,,DEC,0
CANEBRAKE,29.5,47.9,31/46,12.23,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
GUITAR,21.18,34.27,31/46,12.07,High Wind Trend - Exceeded FPI,NOV,1
ANTON,14.5,21.5,31/46,4.3,,OCT,0
NORTHPARK,12.7,21.1,31/46,4.22,,DEC,0
Kuehner,19.6,45.5,31/46,12.91,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,13.5,15.3,31/46,3.06,,DEC,0
SHOVEL,30,46.3,31/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
ENERGY,32,46.3,31/46,13,Exceeded Threshold - Exceeded FPI,DEC,1
JONAGOLD,14.9,15.7,28/39,3.14,,DEC,0
JULIUS,36,50.5,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
AVANTI,8.6,19.4,31/46,3.88,,OCT,0
VARGAS,12.6,21.2,31/46,4.24,,OCT,0
ANTON,32.84,48.37,31/46,12.05,High Wind Trend - Exceeded FPI,NOV,1
BOOTLEGGER,25.17,41.94,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
CONDOR,8.9,17.9,31/46,3.58,,NOV,0
CANYON-,10.4,17,40/50,3.4,,NOV,0
HONEYCRISP,9.3,17.2,29/42,3.44,,DEC,0
GNATCATCHER,12,16.5,31/46,3.3,,DEC,0
SAND CANYON,10.2,19.6,31/46,3.92,,OCT,0
BIG ROCK,10.2,15.2,31/46,3.04,,NOV,0
ANTON,12.3,15.6,31/46,3.12,,DEC,0
CALGROVE,10.8,15.8,31/46,3.16,,OCT,0
DARTMOUTH,24.6,41.4,31/45,14.44,High Wind Trend - Exceeded FPI,DEC,1
HAMPSHIRE,14.2,19.6,31/45,3.92,,OCT,0
SWEETWATER,12,17.3,31/46,3.46,,DEC,0
BIRCHIM,31.5,51.7,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
VETERANS,19.9,43,31/46,12.7,High Wind Trend - Exceeded FPI,JAN,1
Exceeded Threshold STROSNIDER,33.9,51.5,31/46,12.53,Exceeded FPI,NOV,1
CABANA,46.5,63.64,31/46,12.57,Exceeded FPI,OCT,1
TWIN LAKES,7.6,20.2,31/45,4.04,,NOV,0
CAESAR,14.7,17.5,31/45,3.5,,OCT,0
DAVENPORT,13.9,15,31/46,3,,NOV,0
ANTON,14.9,18.7,31/46,3.74,,OCT,0
RACER,14.2,16.7,31/46,3.34,,NOV,0
BOOTLEGGER,22.4,44.6,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
SHOVEL,8.2,21.3,25/40,4.26,,NOV,0
ACOSTA,12.1,16,31/46,3.2,,NOV,0
VETERANS,13.5,15.1,31/46,3.02,,DEC,0
ENERGY,29.9,43.3,31/46,12.99,High Wind Trend - Exceeded FPI,DEC,1
OAK KNOLL,10.2,15,31/46,3,,DEC,0
GRAPEVINE,8.9,22,31/46,4.4,,NOV,0
ACOSTA,36.1,64.52,31/46,12.56,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
WOBEGONE,25.1,37,28/40,12.02,High Wind Trend - Exceeded FPI,NOV,1
TOWNSHIP,12.2,19.4,31/45,3.88,,DEC,0
